
,"Conforme o §5° do art. 12º do Decreto Municipal nº 57.536 de 15 de dezembro de 2016 a Coordenadoria de Legislação de Uso e Ocupação do Solo (DEUSO) disponibiliza a lista a seguir, que contém as Certidões de Transferência de Potencial Construtivo emitidas. A informação da Certidão de Transferência de Potencial Construtivo é considerada válida e atualizada conforme consolidadação efetuada em Agosto de 2025.               ",,,,,,,,,,,,,,,,,
,Certidão de Transferência de Potencial Construtivo sem doação - ZEPEC,,,,,,,,,,,,,,,,,
,Imóvel cedente,,,,,,,Imóvel receptor,,Imóvel receptor,,,,,,,,
,N. processo,SQ,Lote,Endereço,Distrito,N. Declaração,Conservação - art. 129 PDE,SQ,Lote,Endereço,Distrito,N. Certidão,Ano Certidão,N. Declaração Saldo,Área cedida equivalente (m²),Área recebida real (m²),Data Publicação,Situação
,1995-0.017.263-1,299014,0177-1,"Av Brigadeiro Faria Lima, 3477",Itaim Bibi,-,-,299014,0177-1,"Av Brigadeiro Faria Lima, 3477",Itaim Bibi,16/00-OU FL,2000,016.EXTRATO CERTIDÃO Nº 16/00/SEMPLA,46098,46098,36789,DOCUMENTAL
,10-011.610-86-63,002059,0054-2,"Páteo do Colégio, 34",Sé,0001,-,002073,0006 (atual 0013),R Roberto Simonsen,Sé,001/89,1989,0001A,3827.21,3827.21,32687,DOCUMENTAL
,2016-0.232.665-3,001049,0235-3,"Largo São Bento, s/n",Sé,0004/17 - 2a via,Atestado de Conservação 001/2016,014050,"0090-2, 0496-7, 0086-4, 0085-6, 0084-8","R José Maria Lisboa, 745, 753, 757 / Av Nove de Julho, 3.123, 3.127 e 3.133",Jardim Paulista,008/17,2017,004A/17,8107.37,6292,43083,DOCUMENTAL
,2017-0.098.912-6,001049,0235-3,"Largo São Bento, s/n",Sé,0004A/17,Atestado de Conservação 001/2016,014039,"0022-1, 0023-1","Al Lorena, 870 e 878",Jardim Paulista,018/17,2017,0004B/17,1910.96,1511.79,43130,DOCUMENTAL
,2017-0.155.948-6,001049,0235-3,"Largo São Bento, s/n",Sé,0004B/17,Atestado de Conservação 001/2016,036050,"0012-6, 0061-4, 0064-9","R Afonso de Freitas, 59/61 e 75/83",Vila Mariana,006/18,2018,0004C/18,4314.1400000000003,5537.23,43169,DOCUMENTAL
,2015-0.169.394-4,001049,0235-3,"Largo São Bento, s/n",Sé,0004C/18,Atestado de Conservação 001/2016,299036,"001-1,0002-8,0003-6,0018-4,0019-2 e0020-6.","R Ministro Jesuíno Cardoso, 120, Itaim Bibi, Pinheiros",Itaim Bibi,011/18,2018,0004D/18,2127.37,1692.75,43236,DOCUMENTAL
,2018-0.020.730-8,001049,0235-3,"Largo São Bento, s/n",Sé,0004D/18,Atestado de Conservação 001/2016,015044,0211-1,"R Cunha Gago, 444",Pinheiros,020/18,2018,0004E/18,3279.07,4392.97,43301,DOCUMENTAL
,2018-0.037.953-2,001049,0235-3,"Largo São Bento, s/n",Sé,0004E/18,Atestado de Conservação 001/2016,009073,0362-5,"R Pamplona, 1004",Jardim Paulista,022/18,2018,0004F/18,4144.09,3057.51,43361,DOCUMENTAL
,2018-0.064.423-6,001049,0235-3,"Largo São Bento, s/n",Sé,0004F/18,Atestado de Conservação 001/2016,086043,"0014-7, 0015-5, 0028-7, 0059-7 e 0060-0",R Otávio Tarquínio de Souza / R Sul / R Princesa Isabel,Campo Belo,003/19,2019,0004G/18,2101.46,2756.07,43481,DOCUMENTAL
,7810.2018/0000558-2,005003,0003-8,"Praça Patriarca, 49",Sé,0005/98,Termo de Compromisso 008/2018,014018,0497-7,"Al Lorena, 1335",Jardim Paulista,028/18,2018,0005A/18,1632.8,779.01,43427,DOCUMENTAL
